Entity,Code,Year,Maternal mortality ratio
Albania,ALB,1990,32.874947
Albania,ALB,1991,29.07421
Albania,ALB,1992,27.674513
Albania,ALB,1993,26.515451
Albania,ALB,1994,24.24055
Albania,ALB,1995,22.034124
Albania,ALB,1996,18.68523
Albania,ALB,1997,18.388054
Albania,ALB,1998,15.522337
Albania,ALB,1999,14.890729
Albania,ALB,2000,14.326414
Albania,ALB,2001,12.525534
Albania,ALB,2002,12.407263
Albania,ALB,2003,12.1191635
Albania,ALB,2004,10.631596
Albania,ALB,2005,10.830499
Albania,ALB,2006,10.76677
Albania,ALB,2007,10.195825
Albania,ALB,2008,9.739404
Albania,ALB,2009,9.097263
Albania,ALB,2010,8.516676
Albania,ALB,2011,8.045227
Albania,ALB,2012,7.796703
Albania,ALB,2013,7.2153625
Albania,ALB,2014,7.0098605
Albania,ALB,2015,6.878285
Albania,ALB,2016,6.6560845
Albania,ALB,2017,6.689698
Albania,ALB,2018,5.4292927
Albania,ALB,2019,5.305023
Albania,ALB,2020,8.276446
Algeria,DZA,1990,205.81978
Algeria,DZA,1991,203.99115
Algeria,DZA,1992,203.64143
Algeria,DZA,1993,203.94144
Algeria,DZA,1994,202.64119
Algeria,DZA,1995,203.82845
Algeria,DZA,1996,192.42587
Algeria,DZA,1997,180.90137
Algeria,DZA,1998,186.70406
Algeria,DZA,1999,186.78293
Algeria,DZA,2000,159.17569
Algeria,DZA,2001,155.60765
Algeria,DZA,2002,150.39429
Algeria,DZA,2003,153.00684
Algeria,DZA,2004,136.83981
Algeria,DZA,2005,143.5237
Algeria,DZA,2006,134.48117
Algeria,DZA,2007,125.07094
Algeria,DZA,2008,116.5181
Algeria,DZA,2009,114.55361
Algeria,DZA,2010,111.74292
Algeria,DZA,2011,105.463295
Algeria,DZA,2012,99.0758
Algeria,DZA,2013,94.34408
Algeria,DZA,2014,86.15147
Algeria,DZA,2015,89.13265
Algeria,DZA,2016,88.9977
Algeria,DZA,2017,89.14354
Algeria,DZA,2018,79.49121
Algeria,DZA,2019,76.71434
Algeria,DZA,2020,77.694786
Armenia,ARM,1990,47.282715
Armenia,ARM,1991,50.627323
Armenia,ARM,1992,50.760963
Armenia,ARM,1993,52.362232
Armenia,ARM,1994,59.16303
Armenia,ARM,1995,56.784103
Armenia,ARM,1996,58.176136
Armenia,ARM,1997,54.062088
Armenia,ARM,1998,54.502785
Armenia,ARM,1999,58.47666
Armenia,ARM,2000,50.165813
Armenia,ARM,2001,49.568985
Armenia,ARM,2002,48.045692
Armenia,ARM,2003,42.614437
Armenia,ARM,2004,41.58858
Armenia,ARM,2005,37.780674
Armenia,ARM,2006,39.92467
Armenia,ARM,2007,35.867077
Armenia,ARM,2008,33.531677
Armenia,ARM,2009,33.39944
Armenia,ARM,2010,33.217705
