Country,Year,Number below $2.15 a day
Albania,1996,16944
Albania,2002,33337
Albania,2005,17800
Albania,2008,5892
Albania,2012,18003
Albania,2014,29558
Albania,2015,2767
Albania,2016,4006
Albania,2017,11280
Albania,2018,1379
Albania,2019,0
Albania,2020,604
Algeria,1995,1742570
Algeria,2011,0
Armenia,1999,381499
Armenia,2001,437848
Armenia,2002,309467
Armenia,2003,232526
Armenia,2004,163030
Armenia,2005,80129
Armenia,2006,60487
Armenia,2007,46154
Armenia,2008,26245
Armenia,2009,36984
Armenia,2010,28033
Armenia,2011,34710
Armenia,2012,24254
Armenia,2013,50434
Armenia,2014,41590
Armenia,2015,32999
Armenia,2016,31752
Armenia,2017,22406
Armenia,2018,38005
Armenia,2019,29054
Armenia,2020,9876
Azerbaijan,1995,954504
Azerbaijan,2001,499460
Azerbaijan,2002,6497
Azerbaijan,2003,4165
Azerbaijan,2004,0
Azerbaijan,2005,0
Bangladesh,1991,46247348
Bangladesh,1995,40010284
Bangladesh,2000,43048940
Bangladesh,2005,33771944
Bangladesh,2010,27042588
Bangladesh,2016,21520270
Bhutan,2003,84800
Bhutan,2007,39898
Bhutan,2012,12478
Bhutan,2017,7151
Bolivia,1997,1264495
Bolivia,1999,1846051
Bolivia,2000,2083498
Bolivia,2001,1664471
Bolivia,2002,1752207
Bolivia,2004,941606
Bolivia,2005,1463492
Bolivia,2006,1192328
Bolivia,2007,919333
Bolivia,2008,824493
Bolivia,2009,882672
Bolivia,2011,550887
Bolivia,2012,683642
Bolivia,2013,555761
Bolivia,2014,466799
Bolivia,2015,513467
Bolivia,2016,633020
Bolivia,2017,564156
Bolivia,2018,380113
Bolivia,2019,226187
Bolivia,2020,372588
Bosnia and Herzegovina,2001,13665
Bosnia and Herzegovina,2004,7505
Bosnia and Herzegovina,2007,2664
Bosnia and Herzegovina,2011,2807
Brazil,1990,36158712
Brazil,1992,36311204
Brazil,1993,35016836
Brazil,1995,24095676
Brazil,1996,26573710
Brazil,1997,26927420
Brazil,1998,24523454
Brazil,1999,25968708
Brazil,2001,23242706
Brazil,2002,21185508
Brazil,2003,23022010
Brazil,2004,20422522
Brazil,2005,18610434
Brazil,2006,15604586
Brazil,2007,15015059
Brazil,2008,12538463
Brazil,2009,11905237
Brazil,2011,10548393
Brazil,2012,8986021
Brazil,2013,7521300
Brazil,2014,6766963
Brazil,2015,7956117
Brazil,2016,9792223
Brazil,2017,11056501
Brazil,2018,11151597
Brazil,2019,11455808
Brazil,2020,4159606
Bulgaria,1992,0
Bulgaria,2006,443192
Bulgaria,2007,135227
Bulgaria,2008,93746
Bulgaria,2009,97206
Bulgaria,2010,148484
Bulgaria,2011,180678
Bulgaria,2012,168725
Bulgaria,2013,129593
Bulgaria,2014,119940
Bulgaria,2015,245462
Bulgaria,2016,140168
Bulgaria,2017,97065
Bulgaria,2018,61150
Bulgaria,2019,64430
Bulgaria,2020,17187
Burundi,1992,4310702
Burundi,1998,4852075
Burundi,2006,5501974
Burundi,2013,6723176
Burundi,2020,7615392
Colombia,1992,3243728
Colombia,1996,6437695
Colombia,1999,8239555
Colombia,2000,6861440
Colombia,2001,8364060
Colombia,2002,5735618
Colombia,2003,5339568
Colombia,2004,5000941
Colombia,2005,4533185
Colombia,2008,4830818
Colombia,2009,4255112
Colombia,2010,3712740
Colombia,2011,3093760
Colombia,2012,3074343
Colombia,2013,2825924
Colombia,2014,2535258
Colombia,2015,2320871
Colombia,2016,2340116
Colombia,2017,2098202
Colombia,2018,2216606
Colombia,2019,2652273
Colombia,2020,4767040
Congo,2005,1820028
Congo,2011,1651431
Dominican Republic,1992,565592
Dominican Republic,1996,516806
Dominican Republic,1997,559952
Dominican Republic,2000,573465
Dominican Republic,2001,445412
Dominican Republic,2002,669688
Dominican Republic,2003,775831
Dominican Republic,2004,1049664
Dominican Republic,2005,679067
Dominican Republic,2006,580745
Dominican Republic,2007,570519
Dominican Republic,2008,518867
Dominican Republic,2009,451527
Dominican Republic,2010,378245
Dominican Republic,2011,401626
Dominican Republic,2012,386075
Dominican Republic,2013,301850
Dominican Republic,2014,345060
Dominican Republic,2015,263786
Dominican Republic,2016,213728
Dominican Republic,2017,106637
Dominican Republic,2018,89950
Dominican Republic,2019,90612
Dominican Republic,2020,105533
Egypt,1990,3028841
Egypt,1995,1327138
Egypt,1999,0
Egypt,2004,2432744
Egypt,2008,2419357
Egypt,2010,914981
Egypt,2012,821433
Egypt,2015,885407
Egypt,2017,2586332
Egypt,2019,1561089
Estonia,1993,0
Estonia,2003,34398
Estonia,2004,14700
Estonia,2005,10996
Estonia,2006,11097
Estonia,2007,5702
Estonia,2008,5164
Estonia,2009,7407
Estonia,2010,10548
Estonia,2011,13004
Estonia,2012,9784
Estonia,2013,11330
Estonia,2014,10918
Estonia,2015,7893
Estonia,2016,6185
Estonia,2017,3540
Estonia,2018,3288
Estonia,2019,7390
Estonia,2020,4636
Ethiopia,1995,40101608
Ethiopia,1999,38329260
Ethiopia,2004,26411630
Ethiopia,2010,27838164
Ethiopia,2015,28032298
France,1990,143687
France,1996,148578
France,1997,147584
France,1998,0
France,1999,0
France,2000,0
France,2001,0
France,2002,0
France,2003,97966
France,2004,31186
France,2005,27206
France,2006,17580
France,2007,9519
France,2008,6240
France,2009,28699
France,2010,56833
France,2011,16848
France,2012,40023
France,2013,39859
France,2014,12386
France,2015,88879
France,2016,38784
France,2017,10632
France,2018,14216
France,2019,34670
France,2020,77636
Ghana,1991,10352867
Ghana,1998,10337902
Ghana,2005,9725133
Ghana,2012,7037056
Ghana,2016,7576500
Guinea,1991,5819464
Guinea,1994,2999680
Guinea,2002,4601652
Guinea,2007,4594990
Guinea,2012,2647992
Guinea,2018,1757392
Guyana,1992,219232
Guyana,1998,90025
India,1993,448797600
India,2004,464832448
India,2009,412227040
India,2011,289412160
India,2015,248795840
India,2016,243312816
India,2017,181679536
India,2018,152299776
India,2019,183071184
India,2020,216238496
Iran,1990,4914302
Iran,1994,2533798
Iran,1998,2719956
Iran,2005,719146
Iran,2006,607238
Iran,2009,1112372
Iran,2011,386033
Iran,2012,197071
Iran,2013,227038
Iran,2014,495452
Iran,2015,329166
Iran,2016,371993
Iran,2017,279248
Iran,2018,576135
Iran,2019,629960
Iran,2020,709492
Iraq,2006,10096
Iraq,2012,30056
Jamaica,1990,68902
Jamaica,1993,198889
Jamaica,1996,64915
Jamaica,1999,60096
Jamaica,2002,56160
Jamaica,2004,31362
Jamaica,2018,1576
Jordan,1992,0
Jordan,1997,0
Jordan,2002,10414
Jordan,2006,5573
Jordan,2008,719
Jordan,2010,2849
Kazakhstan,1993,1381710
Kazakhstan,1996,1236990
Kazakhstan,2001,1904009
Kazakhstan,2002,1320570
Kazakhstan,2003,919560
Kazakhstan,2004,497937
Kazakhstan,2005,1311948
Kazakhstan,2006,154837
Kazakhstan,2007,59699
Kazakhstan,2008,38317
Kazakhstan,2009,39293
Kazakhstan,2010,31848
Kazakhstan,2011,11771
Kazakhstan,2012,6452
Kazakhstan,2013,5640
Kazakhstan,2014,3332
Kazakhstan,2015,6714
Kazakhstan,2016,8991
Kazakhstan,2017,7485
